id_hash,source_lat,source_lon,target_lat,target_lon,source,target,road_name
pylg9h,14.6212776,121.072057,14.6209217,121.0729341,132,550,Tom Castro Street
tubc2b,14.6347974,121.0707356,14.6341111,121.0729669,133,70,Xavierville Avenue
tubc2b,14.6347974,121.0707356,14.6355054,121.0683862,133,469,Xavierville Avenue
b5hwmz,14.6455864,121.0530027,14.6442621,121.0537121,138,10998,Kalayaan Avenue
op6iin,14.6294506,121.0693075,14.6288116,121.0679253,141,2532,Aurora Boulevard
me9aya,14.669213,121.0538765,14.6689109,121.0543374,142,7963,Tandang Sora Avenue
me9aya,14.669213,121.0538765,14.669632,121.0532248,142,9471,Tandang Sora Avenue
jzrlz8,14.628314,121.0134664,14.6298845,121.015126,143,7304,Quezon Avenue
1tjxk0,14.6305057,121.0158131,14.6317267,121.0175271,144,13342,"Residential Road (144, 13342)"
yztq06,14.6305057,121.0158131,14.6302306,121.0170348,144,7687,Scout Chuatoco Street
wxqdx8,14.6275667,121.0292689,14.6279967,121.0293671,145,8057,Scout Tobias Street
2i12sa,14.6275667,121.0292689,14.6278013,121.0281663,145,8049,Scout Chuatoco Street
inm3ma,14.6296523,121.0297457,14.6295586,121.0297238,146,1025,Scout Tobias Street
ny3npi,14.6296523,121.0297457,14.6300986,121.0276829,146,1042,Don Alejandro Roces Avenue
o0y6s2,14.7228148,121.0507977,14.7213605,121.0520364,150,151,Commonwealth Avenue
2r032a,14.6915154,121.0960077,14.6914629,121.0959516,152,11613,Batasan Road
yhjp7s,14.7064238,121.0694319,14.7065657,121.0694289,153,12001,Regalado Avenue
jigejh,14.7064238,121.0694319,14.7064185,121.0703134,153,13355,"Residential Road (153, 13355)"
badb94,14.6375817,121.0480395,14.6376579,121.0476882,157,3526,V. Luna Road
badb94,14.6375817,121.0480395,14.6374433,121.0487291,157,2485,V. Luna Road
ibevbn,14.6378658,121.0580814,14.6372717,121.0580619,158,2846,Anonas Street Extension
ibevbn,14.6378658,121.0580814,14.6384798,121.0581219,158,2568,Anonas Street Extension
badb94,14.6361718,121.0545444,14.6363342,121.0538083,159,2843,V. Luna Road
np4ivo,14.6361718,121.0545444,14.633739,121.0541882,159,2563,Kalayaan Avenue
k0hgal,14.6379812,121.0462198,14.6380048,121.0461124,160,7737,V. Luna Road
badb94,14.6379812,121.0462198,14.6376579,121.0476882,160,3526,V. Luna Road
aks3ai,14.6379812,121.0462198,14.6408202,121.0468809,160,2825,East Avenue
iwdb2d,14.6548201,121.0643146,14.653821,121.0649568,163,10097,M. Roxas Avenue
rt7ypt,14.6547985,121.0623334,14.6548201,121.0643146,164,163,University Avenue
rt7ypt,14.654732,121.0584235,14.6547853,121.0615716,165,10932,University Avenue
wum4h5,14.654732,121.0584235,14.6511367,121.0591362,165,10822,Carlos P. Garcia Avenue
cs290t,14.5931803,121.0586597,14.5937043,121.0588375,166,43,EDSA
cs290t,14.5931803,121.0586597,14.5930397,121.0586102,166,1859,EDSA
y7c1a0,14.6316004,121.0740613,14.6317342,121.0743251,168,76,"Primary Road (168, 76)"
cyjjhk,14.6316004,121.0740613,14.6310943,121.0740455,168,13071,"Residential Road (168, 13071)"
6v67hs,14.6360665,121.0743374,14.6355416,121.0743127,169,8755,Katipunan Avenue
m2d3cp,14.6182005,121.0781009,14.6164511,121.0761226,176,2446,Colonel Bonny Serrano Avenue
hd112s,14.6561513,121.0716067,14.6561433,121.0706345,197,8523,Osmeña Avenue
pxpemt,14.6476905,121.0642904,14.6473546,121.0623758,215,13244,"Residential Road (215, 13244)"
ra62r4,14.6472033,121.068968,14.6472782,121.0705185,224,8965,Carlos P. Garcia Avenue
ra62r4,14.6472033,121.068968,14.6472496,121.0678673,224,42,Carlos P. Garcia Avenue
pxpemt,14.6477267,121.0650291,14.6478019,121.0653881,226,227,Carlos P. Garcia Avenue
pxpemt,14.6477267,121.0650291,14.6476832,121.0646545,226,9369,Carlos P. Garcia Avenue
pxpemt,14.6478019,121.0653881,14.647959,121.0657812,227,11019,Carlos P. Garcia Avenue
pxpemt,14.6478019,121.0653881,14.6477267,121.0650291,227,226,Carlos P. Garcia Avenue
pxpemt,14.6473416,121.0623229,14.64713,121.0608375,238,9495,Carlos P. Garcia Avenue
25b4oe,14.6357375,121.0639437,14.6358008,121.0642876,251,7336,Xavierville Avenue
6efvw5,14.6357375,121.0639437,14.634357,121.0619897,251,98,Chico Street
u0cbyx,14.6291947,121.0318496,14.6296523,121.0297457,252,146,Don Alejandro Roces Avenue
35wov4,14.6217416,121.0298642,14.621032,121.03029,255,569,Gilmore Avenue
mq1fr0,14.6279924,121.0571481,14.6280302,121.0578126,256,361,Ermin Garcia Street
8wydjp,14.6279924,121.0571481,14.6287801,121.0560842,256,360,Ermin Garcia Street
ggjotn,14.6194149,121.0577921,14.6196798,121.0576216,258,8931,General Romulo Avenue
jezyyx,14.6204301,121.0276357,14.6211647,121.0271919,259,315,Broadway Avenue
jezyyx,14.6204301,121.0276357,14.6197317,121.0280576,259,299,Broadway Avenue
