id_hash,source_lat,source_lon,target_lat,target_lon,road_name,highway_type,source,target
ggjotn,14.6194149,121.0577921,14.6196798,121.0576216,General Romulo Avenue,tertiary,258,8931
jezyyx,14.6204301,121.0276357,14.6211647,121.0271919,Broadway Avenue,tertiary,259,315
jezyyx,14.6204301,121.0276357,14.6197317,121.0280576,Broadway Avenue,tertiary,259,299
bzkucx,14.6244248,121.0374542,14.6244964,121.0382839,E. Rodriguez Sr. Avenue,secondary,260,9800
bzkucx,14.6244248,121.0374542,14.6243963,121.0370763,E. Rodriguez Sr. Avenue,secondary,260,9801
d0cpdd,14.6280248,121.0363848,14.6286652,121.0386239,Kamuning Road,secondary,261,11
d0cpdd,14.6280248,121.0363848,14.6274348,121.0343282,,,261,11864
1swfjm,14.6230241,121.0320797,14.6237155,121.0316525,Doña Hemady Street,secondary,262,313
3f5uay,14.6175101,121.0551616,14.6178862,121.0556878,Pedro Tuazon Boulevard,secondary,263,482
tnv95z,14.7347812,121.0563575,14.734383,121.0547435,,,265,12819
ry1blk,14.7342277,121.0556424,14.7329718,121.0555794,Belfast Avenue,secondary,266,269
vleqd9,14.7268113,121.0579474,14.7244952,121.0554343,Mindanao Avenue,secondary,267,1658
s9bpen,14.7298501,121.0612534,14.729751,121.0611451,,,268,10269
gew589,14.7298501,121.0612534,14.7302775,121.061256,Regalado Highway,primary,268,9451
ry1blk,14.7329718,121.0555794,14.7316919,121.0554709,Belfast Avenue,secondary,269,4654
ib3e0m,14.6236775,121.0738186,14.6236783,121.0737074,Pedro Tuazon Boulevard,secondary,270,271
ib3e0m,14.6236775,121.0738186,14.6233842,121.0740565,Pedro Tuazon Boulevard,secondary,270,7531
ib3e0m,14.6236783,121.0737074,14.6236775,121.0738186,Pedro Tuazon Boulevard,secondary,271,270
ib3e0m,14.6236783,121.0737074,14.6236128,121.0732759,Pedro Tuazon Boulevard,secondary,271,522
jgynt1,14.6231665,121.0715381,14.6230252,121.0709835,Pedro Tuazon Boulevard,secondary,272,1285
uqdbg2,14.6231665,121.0715381,14.6237197,121.0713657,Jose P. Rizal Street,tertiary,272,553
shw0ys,14.6231665,121.0715381,14.6223073,121.0717741,,,272,13033
jwl4q2,14.6231665,121.0715381,14.6234211,121.0725072,Pedro Tuazon Boulevard,secondary,272,1281
jgynt1,14.6225133,121.0688881,14.6225405,121.0673261,Pedro Tuazon Boulevard,secondary,273,274
jgynt1,14.6225133,121.0688881,14.6226358,121.0694075,Pedro Tuazon Boulevard,secondary,273,2479
bezacn,14.6225405,121.0673261,14.623127,121.0673635,Lakandula Street,tertiary,274,556
8v94g2,14.6225405,121.0673261,14.622169,121.0653637,Pedro Tuazon Boulevard,secondary,274,2476
jgynt1,14.6225405,121.0673261,14.6225133,121.0688881,Pedro Tuazon Boulevard,secondary,274,273
deqsgj,14.6734863,121.0489103,14.6745093,121.0469387,Tandang Sora Avenue,secondary,276,3654
a88ivm,14.6761268,121.043616,14.6749053,121.0435113,,,278,12110
u57r57,14.6082254,121.017184,14.6090338,121.0171297,,,279,10070
u57r57,14.6153268,121.0167442,14.6169781,121.0158976,Gregorio Araneta Avenue,primary,280,281
u57r57,14.6169781,121.0158976,14.6188255,121.014997,,,281,11964
fmr1sq,14.6393614,121.0066014,14.6391278,121.0067281,Gregorio Araneta Avenue,primary,292,1215
6ymi38,14.6358712,121.0086795,14.6329242,121.009004,Gregorio Araneta Avenue,primary,293,294
6ymi38,14.6329242,121.009004,14.632158,121.0093232,Gregorio Araneta Avenue,primary,294,8164
