source_lat,source_lon,target_lat,target_lon,source,target,road_name,speed_kph,freeFlow_kph,jamFactor,isClosed,segmentLength,oneway
14.604976,121.070140,14.604960,121.070216,67,12489,Sarangaya Avenue,50.000000,50,1.000000,False,8.460000,0
14.619109,121.043530,14.619032,121.043579,68,3037,Boston Street,50.000000,50,1.000000,False,10.060000,0
14.619109,121.043530,14.620849,121.042499,68,2885,Boston Street,50.000000,50,1.000000,False,223.060000,0
14.619109,121.043530,14.618871,121.043133,68,11085,Aurora Boulevard,50.000000,50,1.000000,False,50.290000,1
14.593261,121.072276,14.596019,121.072543,69,4773,Green Meadows Avenue,50.000000,50,1.000000,False,308.340000,0
14.634111,121.072967,14.634797,121.070736,70,133,Xavierville Avenue,50.000000,50,1.000000,False,251.940000,0
14.634111,121.072967,14.633562,121.072940,70,466,Esteban Abada Street,50.000000,50,1.000000,False,61.070000,1
14.634111,121.072967,14.633801,121.074143,70,124,Xavierville Avenue,50.000000,50,1.000000,False,131.120000,0
14.634111,121.072967,14.635472,121.073053,70,9346,Esteban Abada Street,50.000000,50,1.000000,False,151.650000,0
14.611059,121.070844,14.611102,121.070838,71,11145,Katipunan Avenue,50.000000,50,1.000000,False,4.860000,0
14.611059,121.070844,14.611071,121.071149,71,12491,1st Street,50.000000,50,1.000000,False,33.060000,1
14.611059,121.070844,14.608256,121.070538,71,12841,Katipunan Avenue,50.000000,50,1.000000,False,313.600000,0
14.623741,121.074347,14.624512,121.074858,72,7532,Major S. Dizon Street,50.000000,50,1.000000,False,137.720000,0
14.623741,121.074347,14.627592,121.074236,72,751,Katipunan Avenue,50.000000,50,1.000000,False,430.710000,1
14.601828,121.069004,14.601900,121.068982,73,2015,Katipunan Avenue,50.000000,50,1.000000,False,8.400000,1
14.615163,121.036898,14.615853,121.036460,74,577,Doña Hemady Street,50.000000,50,1.000000,False,90.130000,1
14.615163,121.036898,14.613885,121.034660,74,75,Aurora Boulevard,50.000000,50,1.000000,False,279.650000,1
14.613885,121.034660,14.613805,121.034709,75,1566,Gilmore Avenue,50.000000,50,1.000000,False,10.380000,1
14.613885,121.034660,14.612674,121.032385,75,91,Aurora Boulevard,27.746401,50,6.039706,False,279.860000,1
14.631734,121.074325,14.631906,121.074334,76,746,Katipunan Avenue,50.000000,50,1.000000,False,19.180000,1
14.631734,121.074325,14.631815,121.074474,76,12462,Marcos Highway,50.000000,50,1.000000,False,18.340000,1
14.632514,121.075812,14.632352,121.077287,77,7674,Marcos Highway,50.000000,50,1.000000,False,164.990000,1
14.629572,121.064716,14.629625,121.064223,78,705,Tindalo Street,50.000000,50,1.000000,False,53.370000,1
14.629572,121.064716,14.629516,121.065261,78,105,Tindalo Street,50.000000,50,1.000000,False,59.010000,0
14.629572,121.064716,14.631226,121.065349,78,714,Narra Street,50.000000,50,1.000000,False,196.170000,0
14.632244,121.054628,14.632700,121.054490,79,396,K-J Street,50.000000,50,1.000000,False,52.820000,0
14.632244,121.054628,14.631817,121.054764,79,264,K-J Street,50.000000,50,1.000000,False,49.660000,0
14.632244,121.054628,14.631586,121.052372,79,319,K-7th Street,50.000000,50,1.000000,False,253.490000,1
14.633560,121.059140,14.633274,121.059251,80,83,Anonas Street,50.000000,50,1.000000,False,33.840000,0
14.633560,121.059140,14.632888,121.056894,80,508,K-7th Street,13.829530,50,9.417223,False,253.010000,1
14.633560,121.059140,14.633970,121.059007,80,316,Anonas Street,50.000000,50,1.000000,False,47.870000,0
14.633205,121.054339,14.633739,121.054188,81,2563,Kalayaan Avenue,50.000000,50,1.000000,False,61.600000,0
14.633205,121.054339,14.632700,121.054490,81,396,K-J Street,50.000000,50,1.000000,False,58.460000,0
14.633205,121.054339,14.633876,121.056585,81,2454,Kamias Road,50.000000,50,1.000000,False,252.890000,0
14.633205,121.054339,14.632552,121.052072,81,497,Kamias Road,34.481879,50,5.891424,False,254.520000,0
14.628581,121.063020,14.628910,121.064728,82,108,Molave Street,22.323941,50,5.219389,False,187.400000,1
14.628581,121.063020,14.629221,121.062450,82,84,Anonas Street,50.000000,50,1.000000,False,94.830000,0
14.628581,121.063020,14.628006,121.063206,82,12466,Anonas Street,50.000000,50,1.000000,False,67.160000,0
14.633274,121.059251,14.633560,121.059140,83,80,Anonas Street,50.000000,50,1.000000,False,33.840000,0
14.633274,121.059251,14.632827,121.059696,83,501,Anonas Street,24.613361,50,4.569544,False,69.090000,0
14.633274,121.059251,14.634436,121.060442,83,7613,K-10th Street,34.651616,50,6.565945,False,182.000000,0
14.629221,121.062450,14.629608,121.061882,84,2561,Anonas Street,50.000000,50,1.000000,False,74.800000,0
14.629221,121.062450,14.628581,121.063020,84,82,Anonas Street,50.000000,50,1.000000,False,94.830000,0
14.629980,121.061630,14.630391,121.061399,85,512,Anonas Street,50.000000,50,1.000000,False,52.110000,0
14.629980,121.061630,14.629806,121.061221,85,518,Pajo Street,50.000000,50,1.000000,False,48.170000,1
14.629980,121.061630,14.632251,121.063244,85,4386,Pajo Street,50.000000,50,1.000000,False,314.660000,0
14.629980,121.061630,14.629608,121.061882,85,2561,Anonas Street,50.000000,50,1.000000,False,49.540000,0
14.627798,121.063222,14.627716,121.063240,86,749,Anonas Street,50.000000,50,1.000000,False,9.370000,1
14.627798,121.063222,14.627377,121.062062,86,36,Aurora Boulevard,50.000000,50,1.000000,False,133.530000,1
14.635628,121.058515,14.635568,121.058534,87,11071,Anonas Street Extension,50.000000,50,1.000000,False,6.980000,0
14.635628,121.058515,14.635407,121.057893,87,11072,V. Luna Road,50.000000,50,1.000000,False,71.780000,1
14.635628,121.058515,14.636214,121.058340,87,2909,Anonas Street Extension,50.000000,50,1.000000,False,67.830000,0
